base_term,term,PMID,Year,DP,TA,JT
Brdicka Reaction,"""Brdicka Reaction""",20027165,2009,2009,Neuro Endocrinol Lett,Neuro endocrinology letters
Brdicka Reaction,"""Brdicka Reaction""",22408554,2009,2009,Sensors (Basel),"Sensors (Basel, Switzerland)"
Brdicka Reaction,"""Brdicka Reaction""",19399242,2009,2009 Mar,Int J Mol Sci,International journal of molecular sciences
Brdicka Reaction,"""Brdicka Reaction""",20027166,2009,2009,Neuro Endocrinol Lett,Neuro endocrinology letters
Brdicka Reaction,"""Brdicka Reaction""",27879923,2008,2008 Jul 10,Sensors (Basel),"Sensors (Basel, Switzerland)"
Brdicka Reaction,"""Brdicka Reaction""",18201947,2008,2008 Feb,Bioelectrochemistry,"Bioelectrochemistry (Amsterdam, Netherlands)"
Brdicka Reaction,"""Brdicka Reaction""",27879872,2008,2008 May 15,Sensors (Basel),"Sensors (Basel, Switzerland)"
Brdicka Reaction,"""Brdicka Reaction""",27879868,2008,2008 May 10,Sensors (Basel),"Sensors (Basel, Switzerland)"
Brdicka Reaction,"""Brdicka Reaction""",27879822,2008,2008 Apr 1,Sensors (Basel),"Sensors (Basel, Switzerland)"
Brdicka Reaction,"""Brdicka Reaction""",28903235,2007,2007 Oct 19,Sensors (Basel),"Sensors (Basel, Switzerland)"
Brdicka Reaction,"""Brdicka Reaction""",17251068,2007,2007 May,Bioelectrochemistry,"Bioelectrochemistry (Amsterdam, Netherlands)"
Brdicka Reaction,"""Brdicka Reaction""",17386512,2007,2007 Jan 23,Anal Chim Acta,Analytica chimica acta
Brdicka Reaction,"""Brdicka Reaction""",16601816,2005,2005 Dec,Biomed Pap Med Fac Univ Palacky Olomouc Czech Repub,"Biomedical papers of the Medical Faculty of the University Palacky, Olomouc, Czechoslovakia"
Brdicka Reaction,"""Brdicka Reaction""",15110301,2004,2004 Jun,Bioelectrochemistry,"Bioelectrochemistry (Amsterdam, Netherlands)"
Brdicka Reaction,"""Brdicka Reaction""",3228346,1988,1988 Apr-Jun,Arch Invest Med (Mex),Archivos de investigacion medica
Brdicka Reaction,"""Brdicka Reaction""",4423918,1974,1974,Scand J Rheumatol,Scandinavian journal of rheumatology
Brdicka Reaction,"""Brdicka Reaction""",5808598,1969,1969 Jul 21,Pol Tyg Lek,"Polski tygodnik lekarski (Warsaw, Poland : 1960)"
Brdicka Reaction,"""Brdicka Reaction""",971041,1976,1976,Arch Geschwulstforsch,Archiv fur Geschwulstforschung
Brdicka Reaction,"""Brdicka Reaction""",5348507,1969,1969 Oct,Clin Chem,Clinical chemistry
Brdicka Reaction,"""Brdicka's Reaction""",737691,1978,1978 Dec 1,Cas Lek Cesk,Casopis lekaru ceskych
Brdicka Reaction,"""Brdicka's Reaction""",729011,1978,1978,Cesk Dermatol,Ceskoslovenska dermatologie
Brdicka Reaction,"""Brdicka's Reaction""",5673846,1968,1968 Jan,Vnitr Lek,Vnitrni lekarstvi
Brdicka Reaction,"""Brdicka's Reaction""",5919870,1966,1966 Jul 15,Cas Lek Cesk,Casopis lekaru ceskych
Brdicka Reaction,"""Brdicka's Reaction""",13374802,1956,1956 Jun 23,Cesk Fysiol,Ceskoslovenska fysiologie
Chiou Method,"""Chiou Method""",3396259,1988,1988 May,Clin Pharmacokinet,Clinical pharmacokinetics
Chiou Method,"""Chiou Method""",6740734,1984,1984,Ther Drug Monit,Therapeutic drug monitoring
Chiou Method,"""Chiou Method""",2032340,1991,1991 May,Clin Chem,Clinical chemistry
Chiou Method,"""Chiou Method""",6723223,1984,1984 Mar-Apr,Clin Pharm,Clinical pharmacy
Chiou Method,"""Chiou Method""",6393463,1984,1984,Ther Drug Monit,Therapeutic drug monitoring
Chiou Method,"""Chiou's Method""",6668559,1983,1983 Oct,J Pharmacokinet Biopharm,Journal of pharmacokinetics and biopharmaceutics
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",32305093,2020,2020 Apr 18,Lancet,"Lancet (London, England)"
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",32578433,2020,2020 Jun 24,Ann Pharmacother,The Annals of pharmacotherapy
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",31591691,2020,2020 Jun,Neurocrit Care,Neurocritical care
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",32334765,2020,2020 Apr,Curr Pharm Teach Learn,Currents in pharmacy teaching & learning
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",31715528,2020,2020 Feb,J Crit Care,Journal of critical care
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",31819596,2019,2019,Int J Gen Med,International journal of general medicine
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",31111434,2019,2019 Oct,J Thromb Thrombolysis,Journal of thrombosis and thrombolysis
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",31832200,2019,2019,J Intensive Care,Journal of intensive care
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",31486994,2019,2019 Nov,Drugs Aging,Drugs & aging
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",30176785,2019,2019 Oct,J Oncol Pharm Pract,Journal of oncology pharmacy practice : official publication of the International Society of Oncology Pharmacy Practitioners
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",31341455,2019,2019 Jul-Aug,Int J Health Sci (Qassim),International journal of health sciences
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",31332068,2019,2019 Oct,Antimicrob Agents Chemother,Antimicrobial agents and chemotherapy
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",30870191,2019,2019 Jun,Crit Care Med,Critical care medicine
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",30802202,2019,2019 May,Clin Nephrol,Clinical nephrology
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",31331365,2019,2019 Jul 22,BMC Res Notes,BMC research notes
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",31256597,2019,2019 May 1,Arch Iran Med,Archives of Iranian medicine
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",30983794,2019,2019 Jan-Mar,J Lab Physicians,Journal of laboratory physicians
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",31249970,2018,2018 Oct,TH Open,TH open : companion journal to thrombosis and haemostasis
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",30603825,2019,2019 Feb,J Anesth,Journal of anesthesia
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",30519899,2019,2019 Feb,Drugs Aging,Drugs & aging
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",31015868,2019,2019 Jan-Mar,Pharm Pract (Granada),Pharmacy practice
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",30120844,2018,2018 Oct,Pharmacotherapy,Pharmacotherapy
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",29357102,2018,2018 Aug,Clin Pharmacokinet,Clinical pharmacokinetics
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",29736630,2018,2018 Oct,Intern Emerg Med,Internal and emergency medicine
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",30623041,2018,2018 Oct,Health Sci Rep,Health science reports
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",29791023,2018,2018 Sep,Br J Clin Pharmacol,British journal of clinical pharmacology
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",29762865,2018,2018 Sep,J Clin Pharmacol,Journal of clinical pharmacology
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",30103503,2018,2018 Aug 11,J Clin Med,Journal of clinical medicine
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",30088539,2018,2018 Aug 6,Braz J Med Biol Res,Brazilian journal of medical and biological research = Revista brasileira de pesquisas medicas e biologicas
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",30012756,2018,2018 Sep,Antimicrob Agents Chemother,Antimicrobial agents and chemotherapy
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",29855865,2018,2018 Aug,J Gen Intern Med,Journal of general internal medicine
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",29862077,2018,2018,Int J Nephrol,International journal of nephrology
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",29097070,2018,2018 May,Burns,Burns : journal of the International Society for Burn Injuries
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",30387457,2018,2018 Jul-Aug,JNMA J Nepal Med Assoc,JNMA; journal of the Nepal Medical Association
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",29680822,2018,2018 Apr 21,J Am Heart Assoc,Journal of the American Heart Association
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",30364869,2018,2018 Aug,Ther Adv Drug Saf,Therapeutic advances in drug safety
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",29632017,2018,2018 Jun,Antimicrob Agents Chemother,Antimicrobial agents and chemotherapy
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",30050959,2018,2018 Apr-Jun,J Res Pharm Pract,Journal of research in pharmacy practice
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",29719337,2018,2018 Apr-Jun,Urol Ann,Urology annals
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",29292178,2018,2018 Apr,J Infect Chemother,Journal of infection and chemotherapy : official journal of the Japan Society of Chemotherapy
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",28739270,2018,2018 Feb 9,Med Clin (Barc),Medicina clinica
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",30294399,2018,2018,Eur Geriatr Med,European geriatric medicine
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",30282860,2018,2018,J Med Invest,The journal of medical investigation : JMI
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",29029647,2017,2017 Oct 13,Syst Rev,Systematic reviews
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",28687262,2017,2017 Oct,Am J Med,The American journal of medicine
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",28795146,2017,2017 Aug,Transplant Direct,Transplantation direct
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",28792695,2017,2017 Jul 1,Clin Lab,Clinical laboratory
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",28880908,2017,2017,PLoS One,PloS one
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",28711195,2017,2017 Sep,J Diabetes Complications,Journal of diabetes and its complications
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",28474735,2017,2017 Sep,Clin Pharmacol Ther,Clinical pharmacology and therapeutics
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",28761677,2017,2017,Open Heart,Open heart
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",28197886,2017,2017 Jun,Pediatr Nephrol,"Pediatric nephrology (Berlin, Germany)"
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",28188437,2017,2017 Jun,Pediatr Nephrol,"Pediatric nephrology (Berlin, Germany)"
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",27278107,2017,2017 Jun,Nephrology (Carlton),"Nephrology (Carlton, Vic.)"
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",28791975,2017,2017 Jul,Niger J Clin Pract,Nigerian journal of clinical practice
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",28407216,2017,2017 Jun,Eur J Clin Invest,European journal of clinical investigation
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",28702264,2017,2017,Int J Nephrol,International journal of nephrology
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",28089648,2017,2017 Sep - Oct,Hellenic J Cardiol,Hellenic journal of cardiology : HJC = Hellenike kardiologike epitheorese
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",27599753,2017,2017 Feb,Fundam Clin Pharmacol,Fundamental & clinical pharmacology
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",28497087,2017,2017,J Renal Inj Prev,Journal of renal injury prevention
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",28655389,2017,2017 Supplement 1,Clin Nephrol,Clinical nephrology
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",28171854,2017,2017,Nephron,Nephron
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",27401985,2017,2017 Jan,Int Urol Nephrol,International urology and nephrology
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",27612441,2016,2016 Dec,Am J Med,The American journal of medicine
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",27734278,2016,2016 Dec,Drugs Aging,Drugs & aging
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",27886861,2016,2016 Nov,Respir Investig,Respiratory investigation
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",26304171,2016,2016 Jul,Gastric Cancer,Gastric cancer : official journal of the International Gastric Cancer Association and the Japanese Gastric Cancer Association
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",27267989,2016,2016 Jun 6,Daru,"Daru : journal of Faculty of Pharmacy, Tehran University of Medical Sciences"
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",27466080,2016,2016 Jul 28,Sci Rep,Scientific reports
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",27286995,2016,2016 Jul,Cancer Chemother Pharmacol,Cancer chemotherapy and pharmacology
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",26525450,2016,2016 May,Basic Clin Pharmacol Toxicol,Basic & clinical pharmacology & toxicology
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",26358690,2016,2016 May,J Clin Pharmacol,Journal of clinical pharmacology
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",27130286,2016,2016 Jun,Pharmacotherapy,Pharmacotherapy
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",26923258,2016,2016 May,J Infect Chemother,Journal of infection and chemotherapy : official journal of the Japan Society of Chemotherapy
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",27049361,2016,2016 Mar,J Bras Nefrol,Jornal brasileiro de nefrologia : 'orgao oficial de Sociedades Brasileira e Latino-Americana de Nefrologia
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",26755510,2016,2016 Mar 1,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",27935891,2016,2016,Angiol Sosud Khir,Angiologiia i sosudistaia khirurgiia = Angiology and vascular surgery
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",26882829,2016,2016 Jan 1,Farm Hosp,Farmacia hospitalaria : organo oficial de expresion cientifica de la Sociedad Espanola de Farmacia Hospitalaria
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",26844914,2016,2016,Nephron,Nephron
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",25766385,2016,2016 Jan,Ann Clin Biochem,Annals of clinical biochemistry
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",25735716,2016,2016 Jan,Enferm Infecc Microbiol Clin,Enfermedades infecciosas y microbiologia clinica
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",29900708,2015,2015 Nov,J Assoc Physicians India,The Journal of the Association of Physicians of India
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",26779423,2015,2015 Dec,Kidney Res Clin Pract,Kidney research and clinical practice
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",26502079,2015,2015,PLoS One,PloS one
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",25952999,2015,2015 Nov,Eur Radiol,European radiology
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",26898075,2015,2015 Sep,Coll Antropol,Collegium antropologicum
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",27136905,2015,2015 Jul,Clin Pharmacol Drug Dev,Clinical pharmacology in drug development
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",26357490,2015,2015,Clin Epidemiol,Clinical epidemiology
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",26327957,2015,2015,Pan Afr Med J,The Pan African medical journal
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",25817734,2015,2015 Jun,Fundam Clin Pharmacol,Fundamental & clinical pharmacology
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",25471594,2015,2015 Jun,Asia Pac J Clin Oncol,Asia-Pacific journal of clinical oncology
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",25421796,2015,2015 Jun,Am J Hypertens,American journal of hypertension
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",25421444,2015,2015 Jun,Support Care Cancer,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",25889308,2015,2015 Apr 6,Arthritis Res Ther,Arthritis research & therapy
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",25726417,2015,2015 Apr,J Am Med Dir Assoc,Journal of the American Medical Directors Association
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",25890428,2015,2015 Mar-Apr,Obes Res Clin Pract,Obesity research & clinical practice
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",25798002,2015,2015 Jan-Feb,Radiol Bras,Radiologia brasileira
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",25596677,2015,2015 Jan,Gan To Kagaku Ryoho,Gan to kagaku ryoho. Cancer & chemotherapy
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",25397431,2014,2014,J Int AIDS Soc,Journal of the International AIDS Society
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",25309790,2014,2014 Sep,Endocrinol Metab (Seoul),"Endocrinology and metabolism (Seoul, Korea)"
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",25193903,2014,2014 Sep,Saudi J Kidney Dis Transpl,"Saudi journal of kidney diseases and transplantation : an official publication of the Saudi Center for Organ Transplantation, Saudi Arabia"
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",25271577,2014,2014 Jul-Aug,Rev Bras Enferm,Revista brasileira de enfermagem
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",25097333,2014,2014 Jul,Indian J Nephrol,Indian journal of nephrology
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",24875237,2014,2014 Jul,Expert Rev Clin Pharmacol,Expert review of clinical pharmacology
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",24906409,2014,2014 Jun 7,BMC Nephrol,BMC nephrology
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",24265040,2014,2014 Jun,Int Urol Nephrol,International urology and nephrology
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",25178592,2014,2014 Jul,Mymensingh Med J,Mymensingh medical journal : MMJ
Cockcroft-Gault Equation,"""Cockcroft-Gault Equation""",24792954,2014,2014 Jul,Thromb Res,Thrombosis research
